name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical;is_arcade;use_chds;savestate;source_file;first_emulator;first_emulator_date;last_emulator;last_emulator_date;players;buttons;coins;sound_channels;screens;display_type;display_rotate;screen_orientation;display_width;display_height;display_refresh;input_controls;monitor_type;chips_cpu;chips_cpu_details;chips_audio;chips_audio_details;driver_status;driver_emulation;driver_color;driver_sound;driver_graphic;driver_cocktail;driver_protection;dump_status;device_types;category;genre;serie;language;colors;has_device_refs;has_roms;has_disks;has_dip_switches;has_bios_sets;has_configs;has_ports;has_devices;has_slots;has_adjusters;has_soft_lists;has_ram_opts;has_cheats;nplayers;url_playonline;url_shortplays;url_shortplay_ms;game_rate;mature;on_top_score;on_bacheca_record;on_arcaworld;ranking;bestgame;alltime;cabinets;freeplay;short_title;
"88games";"'88 Games";"1988";Konami;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;"konami/88games.cpp";"Mame 0.36b3";"1999-08-22";"Mame 0.254";"2023-04-27";4;3;2;1;1;RASTER;"0";HORIZONTAL;320;224;60.000000;only_buttons;"CRT 15kHz";"KONAMI CPU,Zilog Z80";"maincpu KONAMI CPU @12 MHz, audiocpu Zilog Z80 @3.579545 MHz";"Speaker,YM2151 OPM,NEC uPD7759";"mono Speaker, ymsnd YM2151 OPM @3.579545 MHz, upd1 NEC uPD7759 @0.64 MHz, upd2 NEC uPD7759 @0.64 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Sports / Track & Field";Sports;"Track & Field";English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"4P alt / 2P sim";-;"https://www.youtube.com/watch?v=-HIge6uMcvE";-;95;NO;NO;YES;NO;English;"70 to 80 (Good)";-;"29043;29047;29031;29038";NO;"'88 Games";
flagrall;"'96 Flag Rally";"1996";Promat?;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;"promat/1945kiii.cpp";"Mame 0.171";"2016-02-24";"Mame 0.254";"2023-04-27";1;2;2;1;1;RASTER;"0";HORIZONTAL;320;240;49.603175;"joystick (8-way)";"CRT 15kHz";"Motorola MC68000";"maincpu Motorola MC68000 @16 MHz";"Speaker,OKI MSM6295 ADPCM";"mono Speaker, oki1 OKI MSM6295 ADPCM @1 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Maze / Driving";Maze;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"1P";-;"https://www.youtube.com/watch?v=voDF0q3PhvE";-;0;NO;NO;NO;NO;English;"30 to 40 (Amendable)";-;-;YES;"'96 Flag Rally";
"005";"005";"1981";Sega;YES;-;NO;-;"005";YES;NO;NO;-;NO;YES;NO;NO;"sega/segag80r.cpp";"Mame 0.30";"1998-01-08";"Mame 0.254";"2023-04-27";2;1;2;1;1;RASTER;"270";VERTICAL;256;224;60.000000;"joystick (4-way)";"CRT 15kHz";"Zilog Z80";"maincpu Zilog Z80 @3.86712 MHz";"Speaker,Samples,Sega 005 Custom Sound";"speaker Speaker, samples Samples, 005 Sega 005 Custom Sound";IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;GOOD;GOOD;BADDUMP;-;"Maze / Shooter Small";Maze;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P alt";"https://archive.org/details/arcade_005";"https://www.youtube.com/watch?v=4s2XpBIcTtQ";-;0;NO;NO;NO;NO;English;"10 to 20 (Horrible)";-;"29043;29031";NO;"005";
"1on1gov";"1 on 1 Government (Japan)";"2000";Tecmo;YES;"coh1002m";NO;-;-;YES;NO;NO;"coh1002m";NO;YES;NO;NO;sony/zn.cpp;"Mame 0.121u3";"2007-12-06";"Mame 0.254";"2023-04-27";4;3;4;2;1;RASTER;"0";HORIZONTAL;640;480;60.000000;"joystick (8-way)";"CRT 31kHz";"Sony CXD8530CQ";"maincpu Sony CXD8530CQ @67.7376 MHz";"Speaker,PlayStation SPU";"lspeaker Speaker, rspeaker Speaker, spu PlayStation SPU @33.8688 MHz";IMPERFECT;GOOD;GOOD;IMPERFECT;IMPERFECT;GOOD;GOOD;NODUMP;-;"Sports / Basketball";Sports;-;Japanese;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"4P sim";-;"https://www.youtube.com/watch?v=DP_4Vee19bM";-;0;NO;NO;NO;NO;Japanese;"50 to 60 (Not Good Enough)";-;-;NO;"1 on 1 Government";
"10yard";"10-Yard Fight (World, set 1)";"1983";Irem;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;"irem/m58.cpp";"Mame 0.108u5";"2006-09-21";"Mame 0.254";"2023-04-27";2;2;2;1;1;RASTER;"0";HORIZONTAL;256;224;56.737589;"joystick (8-way)";"CRT 15kHz";"Zilog Z80,Motorola MC6803";"maincpu Zilog Z80 @3.72 MHz, irem_audio:iremsound Motorola MC6803 @3.579545 MHz";"Speaker,AY-3-8910A PSG,OKI MSM5205 ADPCM";"irem_audio:mono Speaker, irem_audio:ay_45m AY-3-8910A PSG @0.894886 MHz, irem_audio:ay_45l AY-3-8910A PSG @0.894886 MHz, irem_audio:msm1 OKI MSM5205 ADPCM @0.384 MHz, irem_audio:msm2 OKI MSM5205 ADPCM @0.384 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Sports / Football";Sports;"10-Yard Fight";English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P alt";-;"https://www.youtube.com/watch?v=w1ecdCtQmT0";-;0;NO;NO;NO;NO;English;"50 to 60 (Not Good Enough)";-;"29043;29031";NO;"10-Yard Fight";
gtmr;"1000 Miglia: Great 1000 Miles Rally (Taiwan 94/07/18)";"1994";Kaneko;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;"kaneko/kaneko16.cpp";"Mame 0.36b15";"2000-01-21";"Mame 0.254";"2023-04-27";2;2;2;1;1;RASTER;"0";HORIZONTAL;320;240;60.000000;"joystick (8-way),dial,paddle";"CRT 15kHz";"Motorola MC68000";"maincpu Motorola MC68000 @16 MHz";"Speaker,OKI MSM6295 ADPCM";"mono Speaker, oki1 OKI MSM6295 ADPCM @2 MHz, oki2 OKI MSM6295 ADPCM @2 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Driving / Race";Driving;"Great 1000 Miles Rally";"English, German, Italian";-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P alt";-;"https://www.youtube.com/watch?v=0Qzvb7KzHfE
http://www.youtube.com/watch?v=vnSFRBhTN9E";-;95;NO;NO;YES;NO;Italian;"40 to 50 (Decent)";"1994";"29043;29031";NO;"1000 Miglia: Great 1000 Miles Rally";
progolf;"18 Holes Pro Golf (set 1)";"1981";"Data East Corporation";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;dataeast/progolf.cpp;"Mame 0.107";"2006-07-23";"Mame 0.254";"2023-04-27";2;1;2;1;1;RASTER;"270";VERTICAL;256;256;57.000000;"joystick (8-way)";"CRT 15kHz";"DECO 222,MOS Technology 6502";"maincpu DECO 222 @1.324375 MHz, audiocpu MOS Technology 6502 @0.441458 MHz";"Speaker,AY-3-8910A PSG";"mono Speaker, ay1 AY-3-8910A PSG @1.324375 MHz, ay2 AY-3-8910A PSG @1.324375 MHz";IMPERFECT;GOOD;GOOD;GOOD;IMPERFECT;PRELIMINARY;GOOD;GOOD;-;"Sports / Golf";Sports;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P alt";-;"https://www.youtube.com/watch?v=cn4Xkuv760A";-;0;NO;NO;NO;NO;English;"50 to 60 (Not Good Enough)";-;"29043;29031";NO;"18 Holes Pro Golf";
"18wheelr";"18 Wheeler: American Pro Trucker (deluxe, Rev A)";"2000";Sega;YES;naomi;NO;-;-;YES;NO;NO;naomi;NO;YES;NO;NO;sega/naomi.cpp;"Mame 0.134u4";"2009-10-24";"Mame 0.254";"2023-04-27";1;5;2;2;1;RASTER;"0";HORIZONTAL;640;480;61.702586;"paddle,pedal";"CRT 31kHz";"Hitachi SH-4 (little),ARM7 (little),Zilog Z80,Toshiba TMP90PH44,Motorola MC68000";"maincpu Hitachi SH-4 (little) @200 MHz, soundcpu ARM7 (little) @2.8224 MHz, mie_maple:mie Zilog Z80 @16 MHz, 837_13551:iomcu Toshiba TMP90PH44 @10 MHz, comm_board:m3commcpu Motorola MC68000 @10 MHz";"Speaker,Yamaha AICA";"lspeaker Speaker, rspeaker Speaker, aica Yamaha AICA @22.5792 MHz";PRELIMINARY;PRELIMINARY;GOOD;IMPERFECT;IMPERFECT;GOOD;GOOD;BADDUMP;-;"Driving / Truck Guide";Driving;"18 Wheeler";Japanese;-;YES;YES;NO;YES;YES;YES;YES;NO;NO;NO;NO;NO;YES;"1P";-;-;-;0;NO;NO;NO;NO;Japanese;-;-;-;NO;"18 Wheeler: American Pro Trucker";
"1941";"1941: Counter Attack (World 900227)";"1990";Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;"capcom/cps1.cpp";"Mame 0.33b5";"1998-06-10";"Mame 0.254";"2023-04-27";2;2;2;1;1;RASTER;"270";VERTICAL;384;224;59.637405;"joystick (8-way)";"CRT 15kHz";"Motorola MC68000,Zilog Z80";"maincpu Motorola MC68000 @10 MHz, audiocpu Zilog Z80 @3.579545 MHz";"Speaker,YM2151 OPM,OKI MSM6295 ADPCM";"mono Speaker, 2151 YM2151 OPM @3.579545 MHz, oki OKI MSM6295 ADPCM @1 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Shooter / Flying Vertical";Shooter;"194X";English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=EgyFNV11SQE";-;100;NO;NO;NO;NO;English;"50 to 60 (Not Good Enough)";"1990";-;YES;"1941: Counter Attack";
"pc_1942";"1942 (PlayChoice-10)";"1987";Capcom;YES;"playch10";NO;-;-;YES;NO;NO;"playch10";NO;YES;NO;NO;"nintendo/playch10.cpp";"Mame 0.37b7 (0.43)";"2000-09-05";"Mame 0.254";"2023-04-27";2;2;2;1;2;RASTER;"0";HORIZONTAL;256;240;60.000000;"joystick (8-way)";"CRT 15kHz";"Zilog Z80,Ricoh RP2A03G";"maincpu Zilog Z80 @4 MHz, cart Ricoh RP2A03G @1.789772 MHz";"Ricoh RP2A03G,RP2A0X APU,Speaker";"cart Ricoh RP2A03G @1.789772 MHz, cart:nesapu RP2A0X APU @1.789772 MHz, mono Speaker";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Shooter / Flying Vertical";Shooter;"194X";English;-;YES;YES;NO;YES;YES;NO;YES;NO;NO;NO;NO;NO;YES;"2P alt";-;"https://www.youtube.com/watch?v=XcCC8hb8-S0";"https://www.youtube.com/watch?v=sY5FuWpedxE";100;NO;NO;NO;NO;English;"30 to 40 (Amendable)";-;-;NO;"1942";
